Date,B22,C25,D17,B06,B09,D02,A14,C05,C11,A06,B24,D10,A08,A10,D03,B19,C21,D09,B21,C08,D08,B04,B08,B25,A01,A12,A16,A02,A11,B07,A04,B01,C02,B12,B14,C18,A03,D12,D23,A18,B20,C16,A21,D18,D24,A07,D14,D21,C03,C12,D01,C13,C17,C23,C01,C14,D05,B05,D15,D19,A24,C19,D11,A13,D06,D22,A09,B11,B18,A23,B03,B23,A05,A17,C22,A15,A20,C06,B15,C24,D04,A25,B02,D13,C10,C15,D20,B10,B17,D07,A22,B16,C09,A19,C04,D25
2019/9/26,149.8045455,54.88,67.97181818,36.59,55.91909091,88.08454545,76.12454545,39.12454545,41.26909091,54.76545455,71.03727273,36.98272727,39.40181818,32.26454545,98.43454545,65.63727273,45.08272727,43.58545455,174.1236364,140.6654545,159.3109091,48.66454545,82.52727273,66.95909091,85.49636364,91.27363636,74.51454545,95.66,84.04818182,86.54454545,63.61727273,37.09272727,88.83090909,91.57272727,78.94181818,127.4581818,148.8027273,150.3754545,96.50636364,128.5654545,172.0845455,119.5845455,168.2709091,120.5418182,55.03,108.8627273,90.25727273,83.86,36.59727273,49.38090909,43.53363636,111.6590909,111.5127273,177.8636364,110.4863636,146.6418182,105.9745455,111.71,224.1909091,230.1809091,119.2518182,186.5872727,171.7163636,122.4954545,105.2445455,163.05,115.4672727,108.2081818,222.5718182,85.36181818,39.48090909,145.3536364,59.75090909,35.69545455,68.92545455,157.1481818,131.0654545,124.1718182,155.7972727,111.7781818,49.73090909,139.5127273,186.9245455,152.0527273,61.99636364,51.47090909,167.6627273,97.15636364,139.1781818,129.3336364,89.33545455,111.5645455,125.1445455,60.65909091,73.86909091,203.14
2019/9/27,154.56,52.08181818,72.28090909,34.59454545,58.15636364,89.88454545,81.71090909,41.11727273,46.36818182,53.75818182,66.13181818,34.04909091,40.96727273,37.64818182,102.9172727,59.72181818,44.94272727,44.66363636,171.7727273,144.6018182,163.8736364,49.07272727,89.98909091,71.87090909,87.93454545,94.23545455,80.85636364,101.1736364,89.27090909,86.61909091,66.34454545,38.34545455,93.18818182,95.18,82.14818182,134.5236364,164.3527273,157.33,101.7654545,134.6036364,176.2263636,134.2763636,177.0709091,127.3745455,59.83363636,123.6490909,94.45909091,84.93363636,37.85181818,52.04363636,46.23,123.2936364,117.7463636,176.54,120.7090909,164.09,113.6836364,120.8909091,224.3709091,227.7936364,128.0809091,192.0790909,181.3863636,129.8572727,113.4090909,172.5672727,121.7263636,117.2963636,203.2145455,93.81363636,38.48454545,158.14,63.59818182,37.99181818,70.98363636,161.5745455,146.4727273,132.4981818,165.3527273,120.3190909,50.66363636,145.0027273,195.2454545,165.55,64.51909091,57.27636364,173.7636364,107.2045455,148.1418182,137.25,91.87181818,124.4672727,138.8072727,64.27090909,76.79727273,207.8209091
2019/9/28,163.5518182,56.88727273,83.20636364,37.30818182,62.46545455,100.0118182,92.42090909,49.65818182,57.34090909,49.24818182,73.35636364,39.36090909,43.97909091,43.08545455,119.94,65.65909091,48.60545455,47.94272727,182.6672727,145.0227273,171.6509091,56.63636364,100.57,80.40272727,97.44818182,103.6963636,101.4227273,107.43,102.46,96.37090909,75.26727273,42.33454545,103.6972727,111.9572727,98.46090909,167.5545455,186.4118182,182.9309091,116.4263636,160.7390909,185.3181818,155.3627273,190.9890909,153.7909091,67.19272727,142.2590909,110.7009091,100.2627273,40.93727273,54.87909091,55.51272727,136.4945455,146.8363636,187.27,137.5618182,193.8936364,140.3672727,149.4172727,208.1972727,212.7890909,132.6327273,183.6918182,197.1809091,142.2772727,122.73,179.6736364,131.8209091,135.0954545,174.5336364,106.0118182,42.97272727,178.1172727,75.31636364,45.97090909,77.66909091,176.5509091,168.3509091,148.17,174.0590909,136.75,56.99090909,155.4972727,200.3227273,176.0827273,73.52090909,69.38909091,191.3309091,121.9645455,165.59,155.2309091,105.1927273,150.8772727,146.4463636,73.15909091,83.73727273,196.6736364
2019/9/29,161.0690909,56.41636364,73.76545455,37.61454545,62.11727273,93.39909091,99.02727273,44.43727273,55.34727273,51.52,71.98454545,38.38454545,42.93454545,38.08272727,114.9745455,64.87454545,48.08818182,45.78,155.6618182,140.0190909,162.1236364,55.28818182,102.7163636,75.85545455,93.34727273,96.96727273,97.61727273,107.3627273,97.03909091,90.91090909,74.62090909,40.51727273,104.8063636,106.7618182,93.80818182,154.3481818,178.7818182,162.4009091,114.0309091,147.0745455,159.55,147.8609091,169.8009091,148.9754545,69.11545455,138.1209091,105.6554545,96.78818182,38.97090909,49.29363636,57.33454545,135.5418182,135.5290909,165.1981818,131.8709091,184.52,133.8572727,142.9872727,166.2390909,164.9109091,123.1436364,140.8736364,169.3363636,134.4863636,121.9227273,169.9363636,135.4045455,127.6772727,120.9772727,101.0972727,40.23545455,168.4781818,77.22818182,45.24636364,77.96727273,168.2081818,161.1754545,148.6445455,165.9872727,135.8063636,51.93545455,145.0581818,184.4336364,166.07,72.57909091,70.29,173.4327273,117.4081818,153.0290909,153.5990909,110.37,153.2681818,150.3254545,73.49181818,82.51,154.8427273
2019/9/30,128.0963636,44.51818182,59.31909091,32.37545455,53.62181818,76.06363636,93.56,33.95909091,47.55727273,43.18636364,58.53272727,25.23636364,38.41,30.89545455,98.39818182,56.35909091,40.96545455,39.19272727,119.9881818,111.8209091,128.5045455,49.50909091,88.77454545,61.40272727,77.76272727,81.15090909,76.24636364,91.84090909,72.57272727,69.78909091,61.91,37.92636364,96.02818182,86.83090909,74.51181818,126.2490909,149.6936364,126.7545455,96.72272727,123.22,121.6954545,119.8727273,136.1681818,123.0618182,65.94818182,118.5363636,81.55,83.93545455,32.31545455,37.24818182,46.42363636,116.1463636,108.12,125.0818182,109.4781818,153.2645455,101.4490909,120.4681818,117.1245455,118.5872727,108.41,102.8309091,128.4536364,107.1927273,103.3881818,138.5318182,112.9409091,105.8209091,89.50363636,80.37454545,32.60545455,136.1509091,63.98181818,36.29363636,72.67818182,138.6509091,135.48,128.01,138.4136364,113.8254545,46.30454545,116.1909091,155.7536364,133.4245455,63.35909091,63.26545455,140.76,99.74818182,112.9118182,127.5409091,96.38090909,135.4509091,129.0563636,69.15090909,74.92363636,112.3563636
2019/10/1,116.9163636,45.25545455,57.75,32.34454545,56.11363636,73.10454545,98.72545455,34.63363636,49.79727273,42.90454545,60.63545455,27.58636364,39.73636364,28.89272727,102.2745455,52.22363636,40.54363636,41.97363636,111.4172727,108.1427273,125.14,50.41818182,92.84818182,65.23909091,72.60909091,77.49272727,71.79818182,88.11545455,64.79545455,64.94181818,56.63818182,42.60909091,96.24727273,91.75818182,73.04,115.7063636,132.0818182,119.4645455,96.71272727,119.1754545,100.42,109.7472727,123.1527273,119.9754545,73.39181818,105.4881818,82.00090909,84.58090909,33.27636364,42.09636364,45.16363636,115.6954545,103.1027273,107.5563636,100.2445455,147.9572727,106.6990909,115.1518182,89.23272727,104.85,101.5736364,83.98909091,120.5745455,96.97818182,105.9963636,123.5418182,110.5609091,106.5854545,77.09818182,81.48,34.49454545,123.1472727,60.14727273,33.22,70.99545455,128.1972727,124.1827273,130.8381818,132.9463636,110.5472727,48.57,110.7272727,141.6536364,130.1481818,61.53818182,69.01181818,127.0263636,102.4209091,103.7463636,118.5654545,89.22545455,131.7063636,124.1845455,72.29181818,77.97818182,94.75545455
2019/10/2,106.4572727,46.53363636,54.43363636,33,62.85818182,63.74,94.10909091,38.85363636,48.34454545,42.99545455,61.92727273,35.38727273,40.85181818,31.92909091,86.64636364,51.17636364,40.49363636,44.74454545,96.35545455,93.48727273,102.0236364,54.03727273,92.30181818,59.38545455,69.88363636,73.64818182,75.43545455,86.19636364,58.65,62.93636364,56.87818182,43.89454545,93.64727273,83.59727273,63.52272727,101.8663636,120.9672727,94.34090909,96.37636364,112.7036364,86.55727273,101.7572727,107.5054545,112.2145455,71.51454545,109.7590909,73.39727273,75.97181818,29.81545455,44.25181818,45.09727273,120.5445455,96.44727273,92.22909091,90.04727273,125.2518182,108.6872727,112.3727273,70.71727273,64.84636364,96.11363636,69.88272727,103.3736364,95.86545455,93.82727273,115.6118182,106.2590909,107.9254545,67.2,90.11181818,36.23818182,111.4809091,58.77272727,35.96727273,70.67181818,114.9563636,120.9127273,119.62,117.9327273,104.9254545,46.80090909,102.4472727,118.6672727,111.8763636,58.83090909,68.46272727,112.7863636,102.9118182,94.43090909,115.7418182,94.22090909,126.0709091,111.2645455,77.53727273,86.02909091,84.96090909
2019/10/3,98.29727273,51.87272727,70.11727273,42.17909091,69.52090909,71.59818182,103.3536364,45.15,64.38909091,64.65181818,77.00727273,54.03363636,49.68818182,35.94545455,108.7545455,60.58454545,44.47090909,53.44727273,96.05,95.11454545,99.06545455,68.88636364,112.1363636,74.60818182,81.30181818,87.69454545,99.91636364,94.13727273,61.74818182,67.75,72.69181818,53.55545455,107.7318182,97.33272727,76.87909091,97.72090909,116.8772727,101.5627273,108.3081818,117.7445455,81.52363636,103.2690909,105.8672727,118.0681818,80.49272727,115.4227273,91.28636364,93.61090909,35.96818182,57.64,57.44636364,133.8454545,106.1881818,84.17090909,101.2554545,121.9027273,128.26,123.2936364,63.06545455,64.96363636,98.13545455,71.33363636,100.9154545,109.6136364,109.1009091,108.7118182,116.7527273,122.8145455,63.22181818,106.5736364,42.50272727,107.6990909,70.19727273,41.56545455,80.21727273,113.5427273,127.0636364,129.4854545,125.1827273,113.8845455,57.86909091,103.3427273,113.0327273,105.6863636,70.47545455,87.05363636,105.2427273,122.75,102.7009091,126.2272727,109.14,128.8909091,107.4581818,104.4163636,101.5481818,79.01363636
2019/10/4,74.97363636,43.81636364,60.79181818,37.33636364,52.80090909,56.65181818,88.11181818,40.48090909,57.98545455,51.61727273,66.25090909,39.50181818,45.70727273,29.76545455,98.87363636,51.39363636,41.05090909,42.54181818,70.88727273,69.90090909,74.07818182,59.43545455,97.06363636,70.79636364,68.16363636,72.56181818,81.31636364,76.03,52.25636364,51.45545455,60.55909091,40.93363636,90.16181818,81.68181818,59.14363636,72.69363636,84.94272727,69.97,89.39909091,89.43090909,60.38272727,71.56818182,77.71545455,91.79454545,70.28909091,88.65818182,73.3,81.14818182,33.70545455,49.48181818,51.20909091,100.0390909,78.76181818,61.01272727,83.68636364,89.41363636,109.9945455,92.81090909,46.29727273,45.82909091,81.71818182,54.65818182,76.64090909,82.55909091,87.93545455,82.37454545,95.41454545,102.7318182,46.33,86.33454545,33.16272727,85.39909091,60.20090909,34.13636364,71.13909091,83.58909091,94.51818182,94.36727273,89.69363636,94.26363636,50.69,81.53909091,80.37909091,71.32545455,67.41909091,78.52454545,73.00909091,104.7972727,74.80181818,102.0936364,88.54454545,88.31636364,75.68454545,84.00090909,81.13272727,63.63636364
2019/10/5,45.86727273,24.01,30.34727273,19.10909091,27.58272727,29.32363636,54.29545455,21.16909091,23.97,22.79454545,29.77818182,3.94,29.05181818,13.54181818,41.88545455,28.04818182,21.52545455,19.43545455,44.31909091,40.71636364,36.64363636,34.65818182,49.42818182,37.11272727,30.67,35.62,39.39818182,38.92363636,22.42818182,24.43545455,27.03818182,18.98909091,52.98818182,37.79909091,26.48272727,34.60545455,50.99818182,34.90818182,41.60818182,47.01545455,39.95818182,41.13363636,45.85090909,49.19181818,39.74636364,47.18636364,33.56272727,36.3,17.52545455,25.87636364,24.90909091,62.10181818,36.63818182,36.73454545,41.30363636,52.06363636,56.08636364,46.60181818,33.16545455,29.13818182,49.48090909,34.87909091,46.13545455,38.87636364,43.76909091,55.50545455,46.12545455,57.09818182,29.00727273,39.19090909,18.37818182,50.53090909,25.63454545,16.54181818,33.55272727,51.17545455,51.68090909,52.31454545,49.60181818,60.09181818,29.59090909,46.36727273,55.86272727,43.83454545,35.91,42.31272727,42.09636364,57.99090909,43.43090909,57.73272727,53.69909091,56.65272727,46.43272727,40.09909091,40.84727273,45.85090909
